!def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_MBYTE),
!def(PROTO),
def(FEAT_GUI_GTK),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
!def(EBCDIC),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(RISCOS),
def(EBCDIC),
True,
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
!def(RISCOS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(FEAT_CLIPBOARD),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
!def(FEAT_BEVAL),
