def(FEAT_CLIPBOARD),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
!def(FEAT_EMACS_TAGS),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_TOOLBAR),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_EMACS_TAGS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
def(__BORLANDC__),
!def(PROTO),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_MBYTE),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
!def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
True,
