!def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(INET_SOCKETS),
def(DEBUG),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(NBDEBUG),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
True,
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(WSDEBUG),
