!def(RISCOS),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(NBDEBUG),
!def(EBCDIC),
!def(NO_CONSOLE),
!def(FEAT_MBYTE),
!def(PROTO),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(EBCDIC),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(RISCOS),
def(JUMPLIST_ROTATE),
def(FEAT_FKMAP),
def(FEAT_GUI),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(PROTO),
True,
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
