!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
!def(RISCOS),
!def(NO_CONSOLE),
def(FEAT_DND),
def(FEAT_BEVAL),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(LESSTIF_VERSION),
(!def(PROTO)&!def(__BORLANDC__)),
True,
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_GUI),
