def(FEAT_MBYTE),
def(MAIN),
!def(INET_SOCKETS),
def(_WIN32),
!def(FEAT_EMACS_TAGS),
def(FEAT_CLIPBOARD),
!def(NO_CONSOLE),
def(FEAT_EMACS_TAGS),
def(FEAT_BEVAL),
def(PROTO),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
True,
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(DEBUG),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(WIN32),
def(LESSTIF_VERSION),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
