!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
!def(PROTO),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(__BORLANDC__),
def(FEAT_TOOLBAR),
def(PROTO),
True,
def(WSDEBUG),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(DEBUG),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
