!def(INET_SOCKETS),
def(WSDEBUG),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(__MINT__),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(WIN32),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
def(MAIN),
def(FEAT_BEVAL_GUI),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_TERMRESPONSE),
