def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(FEAT_PROFILE),
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_BEVAL_GUI),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
def(WSDEBUG),
True,
def(FEAT_TERMRESPONSE),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_SENSE),
!def(FEAT_PROFILE),
def(FEAT_GUI_W32),
def(_WIN32),
def(PROTO),
def(MAIN),
