!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(PROTO),
!def(PROTO),
def(INET_SOCKETS),
def(FEAT_GUI),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(DEBUG),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
