def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_TRACE),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(INET_SOCKETS),
def(__MINT__),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(FEAT_PROFILE),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
