!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(MAIN),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(PROTO),
def(WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(DEBUG),
