!def(FEAT_PROFILE),
def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(WIN32),
def(DEBUG),
!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL_GUI),
def(_WIN32),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_TRACE),
True,
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(__MINT__),
def(MAIN),
def(NBDEBUG),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
