!def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_PROFILE),
def(WSDEBUG),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_FKMAP),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL_GUI),
def(DEBUG),
def(_WIN32),
def(__MINT__),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(UNIX),
True,
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
def(WIN32),
def(INET_SOCKETS),
def(FEAT_MBYTE),
!def(UNIX),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
