!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
!def(PROTO),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(WSDEBUG),
def(__BORLANDC__),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
True,
def(FEAT_TOOLBAR),
