!def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_GUI_W32),
def(NBDEBUG),
def(PROTO),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(DEBUG),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(__BORLANDC__),
