def(__MINT__),
!def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
True,
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(MAIN),
def(WIN32),
def(FEAT_TERMRESPONSE),
def(FEAT_JOB_CHANNEL),
def(FEAT_BEVAL_GUI),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_PROFILE),
def(DEBUG),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(_WIN32),
