!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(FEAT_PROFILE),
def(FEAT_FKMAP),
def(__MINT__),
def(FEAT_BEVAL_GUI),
True,
def(FEAT_MBYTE),
def(WSDEBUG),
def(LESSTIF_VERSION),
!def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(PROTO),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_FLOAT),
!def(FEAT_GUI_GTK),
def(WIN32),
def(WSDEBUG_SENSE),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
