!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WIN32),
!def(INET_SOCKETS),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(LESSTIF_VERSION),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(__MINT__),
True,
def(PROTO),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
def(FEAT_JOB_CHANNEL),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(NBDEBUG),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
