(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(WIN32),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
def(MAIN),
!def(FEAT_GUI_W32),
def(__MINT__),
def(_WIN32),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(LESSTIF_VERSION),
def(PROTO),
