(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
True,
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(__MINT__),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(MAIN),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_SENSE),
def(WIN32),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
!def(FEAT_PROFILE),
def(PROTO),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
