def(__BORLANDC__),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
!def(PROTO),
!def(NO_CONSOLE),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(WSDEBUG),
def(LESSTIF_VERSION),
True,
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(DEBUG),
def(PROTO),
