!def(PROTO),
def(FEAT_TOOLBAR),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(NBDEBUG),
def(__BORLANDC__),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(JUMPLIST_ROTATE),
def(FEAT_MBYTE),
!def(INET_SOCKETS),
True,
def(MCH_WRITE_DUMP),
