!def(INET_SOCKETS),
def(__MINT__),
def(MAIN),
!def(FEAT_GUI_W32),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
True,
def(INET_SOCKETS),
def(FEAT_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(PROTO),
def(FEAT_GUI_GTK),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WIN32),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
