!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(MAIN),
def(FEAT_JOB_CHANNEL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(FEAT_PROFILE),
def(WIN32),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(PROTO),
def(WSDEBUG),
def(FEAT_GUI),
def(__MINT__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
