!def(NO_CONSOLE),
def(MAIN),
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(PROTO),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(_WIN32),
def(DEBUG),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
True,
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(WIN32),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
