!def(UNIX),
def(INET_SOCKETS),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG),
def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(FEAT_JOB_CHANNEL),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(__MINT__),
def(UNIX),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(FEAT_BEVAL_GUI),
def(FEAT_GUI_W32),
def(DEBUG),
def(MAIN),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(WIN32),
def(PROTO),
