!def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(DEBUG),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
True,
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
def(WSDEBUG),
!def(PROTO),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
