!def(FEAT_PROFILE),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__MINT__),
def(FEAT_JOB_CHANNEL),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(MAIN),
def(PROTO),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
True,
def(_WIN32),
def(FEAT_BEVAL_GUI),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(WIN32),
def(DEBUG),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
