!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
True,
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(WIN32),
def(FEAT_MBYTE),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(MAIN),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(_WIN32),
def(FEAT_GUI),
def(PROTO),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
