def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
def(WIN32),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(__MINT__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(_WIN32),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
!def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
True,
def(FEAT_TOOLBAR),
def(NBDEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_SENSE),
def(MAIN),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
