def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(WIN32),
def(FEAT_TERMRESPONSE),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_BEVAL),
def(WSDEBUG),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(__MINT__),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
