!def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
!def(PROTO),
!def(FEAT_RIGHTLEFT),
def(PROTO),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
True,
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(__BORLANDC__),
!def(FEAT_BEVAL),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
