!def(PROTO),
def(WSDEBUG_TRACE),
def(PROTO),
def(WSDEBUG_SENSE),
True,
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(DEBUG),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
