!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(NBDEBUG),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(PROTO),
def(FEAT_CLIPBOARD),
def(FEAT_GUI),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(WSDEBUG),
!def(PROTO),
