def(WSDEBUG_TRACE),
def(PROTO),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
True,
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_GUI),
def(__BORLANDC__),
!def(PROTO),
