(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
def(PROTO),
True,
!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(ABORT_ON_INTERNAL_ERROR),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
!def(FEAT_BEVAL_GUI),
def(UNIX),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(MAIN),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
def(INET_SOCKETS),
def(__MINT__),
def(_WIN32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
def(NBDEBUG),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
def(FEAT_TOOLBAR),
!def(UNIX),
def(WIN32),
