!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
True,
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(FEAT_BEVAL),
def(DEBUG),
!def(NO_CONSOLE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(PROTO),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
