!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(DEBUG),
def(NBDEBUG),
def(WSDEBUG),
!def(INET_SOCKETS),
def(PROTO),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
!def(PROTO),
def(JUMPLIST_ROTATE),
True,
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
