!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(WSDEBUG),
def(FEAT_BEVAL),
def(_WIN32),
def(DEBUG),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(MAIN),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
True,
def(NBDEBUG),
def(WIN32),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
