!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_SENSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_BEVAL_GUI),
!def(UNIX),
def(PROTO),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(WIN32),
def(DEBUG),
!def(FEAT_PROFILE),
def(UNIX),
def(_WIN32),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__MINT__),
!def(FEAT_GUI_GTK),
def(MAIN),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(WSDEBUG),
True,
def(FEAT_SUN_WORKSHOP),
