def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_TOOLBAR),
def(NBDEBUG),
!def(PROTO),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
!def(FEAT_BEVAL),
def(PROTO),
def(FEAT_GUI_W32),
True,
!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(DEBUG),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
