!def(EBCDIC),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
!def(RISCOS),
!def(LESSTIF_VERSION),
def(FEAT_FKMAP),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(LESSTIF_VERSION),
!def(FEAT_MBYTE),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_TOOLBAR),
(!def(PROTO)&!def(__BORLANDC__)),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_DND),
!def(FEAT_BEVAL),
def(FEAT_GUI),
True,
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_GUI_W32),
def(EBCDIC),
