def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(JUMPLIST_ROTATE),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(WSDEBUG_SENSE),
!def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
True,
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(DEBUG),
def(__MINT__),
