!def(FEAT_EMACS_TAGS),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(FEAT_EMACS_TAGS),
True,
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_FKMAP),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__BORLANDC__),
def(FEAT_MBYTE),
!def(FEAT_BEVAL),
