!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(FEAT_TOOLBAR),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(NBDEBUG),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(FEAT_GUI),
def(__BORLANDC__),
