!def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
!def(PROTO),
def(NBDEBUG),
True,
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(PROTO),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
