!def(NO_CONSOLE),
!def(PROTO),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
True,
def(DEBUG),
def(NBDEBUG),
def(FEAT_TOOLBAR),
