!def(FEAT_PROFILE),
def(INET_SOCKETS),
True,
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(WIN32),
def(LESSTIF_VERSION),
def(DEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(MAIN),
def(FEAT_GUI_W32),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(__MINT__),
def(FEAT_PROFILE),
