!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
True,
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(__MINT__),
def(FEAT_BEVAL_GUI),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_PROFILE),
!def(FEAT_PROFILE),
def(NBDEBUG),
def(_WIN32),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(DEBUG),
!def(FEAT_GUI_W32),
def(WIN32),
