def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(FEAT_BEVAL)&def(NOIME)),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_DND),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
!def(EBCDIC),
def(FEAT_GUI_W32),
(!def(PROTO)&!def(__BORLANDC__)),
True,
!def(RISCOS),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
