(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(_WIN32),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(MAIN),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_GUI),
def(FEAT_JOB_CHANNEL),
def(WIN32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(__MINT__),
True,
def(INET_SOCKETS),
