!def(PROTO),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_FKMAP),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
True,
def(LESSTIF_VERSION),
def(WSDEBUG),
