True,
def(FEAT_GUI_GTK),
!def(FEAT_EMACS_TAGS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_CLIPBOARD),
def(FEAT_EMACS_TAGS),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
!def(FEAT_RIGHTLEFT),
!def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
!def(PROTO),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(DEBUG),
def(__BORLANDC__),
def(INET_SOCKETS),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
