!def(INET_SOCKETS),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(_WIN32),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_JOB_CHANNEL),
def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(DEBUG),
True,
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WIN32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
