!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(__BORLANDC__),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
True,
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
!def(PROTO),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(DEBUG),
def(INET_SOCKETS),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
