def(NBDEBUG),
def(_WIN32),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(MAIN),
!def(INET_SOCKETS),
True,
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(WIN32),
def(FEAT_RIGHTLEFT),
def(DEBUG),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
