(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(PROTO),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_BEVAL),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(_WIN32),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
True,
def(FEAT_JOB_CHANNEL),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
