!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(PROTO),
def(__BORLANDC__),
!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
!def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(LESSTIF_VERSION),
True,
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_FKMAP),
def(WSDEBUG),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
