!def(FEAT_GUI_GTK),
def(MAIN),
def(WSDEBUG),
def(WIN32),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(DEBUG),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(_WIN32),
def(INET_SOCKETS),
True,
!def(NO_CONSOLE),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
