!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
True,
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(NBDEBUG),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
def(PROTO),
!def(PROTO),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
