!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(PROTO),
True,
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
!def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(NBDEBUG),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
!def(FEAT_MBYTE),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
