!def(NO_CONSOLE),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(DEBUG),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
True,
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
