!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(PROTO),
def(MCH_WRITE_DUMP),
True,
def(FEAT_GUI),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(DEBUG),
!def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
!def(PROTO),
